"insertion","search","deletion"
1.23916,0.000951109,1.2931
1.26954,0.000998592,1.17455
1.21772,0.000965673,1.20061
1.18536,0.000963979,1.20519
1.03818,0.00101488,1.42334
1.04317,0.00101557,1.36797
1.09142,0.000962346,1.02231
1.24341,0.000955529,1.02374
1.18702,0.000937356,1.08492
1.17011,0.00164799,1.25776
1.06365,0.000998992,1.3387
1.1298,0.000959658,1.21289
1.30144,0.00100139,1.42985
1.16403,0.000955048,1.16373
1.166,0.000946056,1.29638
1.0915,0.000954246,1.40232
1.07701,0.000954397,1.23645
1.06894,0.00106276,1.33117
1.07885,0.0009432,1.07074
1.09539,0.00094308,1.07384
1.2209,0.000942779,1.10271
1.2253,0.000942057,1.57701
1.23515,0.000966996,1.3292
1.05565,0.000942168,1.27534
1.08253,0.000948933,1.19043
1.08063,0.000937215,1.45804
1.19876,0.00115733,1.43545
1.20908,0.000945896,1.25263
1.23924,0.000962565,1.29803
1.1044,0.000962346,1.57832
