"insertion","search","deletion"
0.0483146,0.00105304,0.0162674
0.0290336,0.000993121,0.0168205
0.0287882,0.000969898,0.0186312
0.0289359,0.000973735,0.0183664
0.0280313,0.000985137,0.0168917
0.0291272,0.0010052,0.017116
0.0322524,0.00102093,0.016418
0.0294092,0.000984315,0.0177112
0.0297005,0.000973745,0.0170338
0.0290247,0.00097622,0.017478
0.0299757,0.000986729,0.0169224
0.0287625,0.000981589,0.0165959
0.0280982,0.000972172,0.0164614
0.0288632,0.0011241,0.0166722
0.0300844,0.000984315,0.0171986
0.0284739,0.00107718,0.0159787
0.0278073,0.00100351,0.0172396
0.02791,0.000996348,0.0170457
0.0289462,0.00100316,0.0170183
0.0281883,0.000987341,0.0170808
0.027765,0.000977913,0.0174307
0.0280784,0.00100478,0.0168247
0.0283501,0.00097119,0.0163996
0.028993,0.000991609,0.0169607
0.0295103,0.000978804,0.0167571
0.0283917,0.00101735,0.0168306
0.0292089,0.00100101,0.0169645
0.0278999,0.00100825,0.0173454
0.0277291,0.000979587,0.0167753
0.0274645,0.00100687,0.0167529
