"insertion","search","deletion"
0.00389233,0.00103854,136.163
0.003671,0.00102638,145.557
0.00211904,0.00100611,163.375
0.00207536,0.0010205,153.446
0.00200397,0.0014459,161.233
0.002123,0.000992635,141.813
0.0021986,0.000970909,140.723
0.00206532,0.000997801,141.154
0.00201471,0.00104472,139.76
0.00214394,0.000969848,141.13
0.00234404,0.000987872,142.12
0.00237937,0.000999673,140.753
0.00272185,0.000967333,140.242
0.0020984,0.00097615,141.372
0.00240096,0.00106886,141.076
0.00386554,0.000991128,141.014
0.00214441,0.00105705,141.102
0.002096,0.000983313,142.025
0.00258361,0.000968315,149.064
0.00271188,0.000987912,148.567
0.00302608,0.00115298,150.184
0.00204255,0.000998361,138.278
0.00225346,0.00103321,137.273
0.00250064,0.00146559,140.49
0.00310085,0.000969607,137.73
0.00203569,0.000976731,137.982
0.00244382,0.00100901,137.653
0.0025878,0.00179027,137.865
0.00220667,0.000998512,137.998
0.00304127,0.000985938,137.638
